Date,EP Adj Close,EP Cumulative Return,EP Investment,ISRG Adj Close,ISRG Cumulative Return,ISRG Investment,CMD Adj Close,CMD Cumulative Return,CMD Investment,OKE Adj Close,OKE Cumulative Return,OKE Investment,Portfolio  Value,Portfolio Daily Return,SPY Adj Close,SPY Daily Return,,,,,,,,
2/24/2011,17.74,1.293002915,129300.2915,328.01,1.21936803,121936.803,47.5,0.998948475,299684.5426,30.17,1.127428999,563714.4993,1114636.136,-0.001790852,125.2,0.038314812,,,,,,,,
2/25/2011,18.45,1.344752187,134475.2187,334.93,1.245092937,124509.2937,45.71,0.961303891,288391.1672,30.62,1.144245142,572122.571,1119498.251,0.004362064,123.61,-0.012699681,,,,,,,,
2/28/2011,18.56,1.352769679,135276.9679,327.95,1.219144981,121914.4981,45.45,0.955835962,286750.7886,30.89,1.154334828,577167.4141,1121109.669,0.001439411,122.85,-0.00614837,,,,,,,,
3/1/2011,18.17,1.324344023,132434.4023,319.81,1.188884758,118888.4758,45.23,0.951209253,285362.776,30.36,1.134529148,567264.574,1103950.228,-0.015305765,123.6,0.006105006,,,,,,,,
3/2/2011,18.25,1.330174927,133017.4927,322.81,1.200037175,120003.7175,44.19,0.929337539,278801.2618,30.47,1.138639761,569319.8804,1101142.352,-0.00254348,121.39,-0.017880259,,,,,,,,
3/3/2011,18.27,1.331632653,133163.2653,331.72,1.233159851,123315.9851,44.22,0.929968454,278990.5363,30.99,1.158071749,579035.8744,1114505.661,0.012135859,119.44,-0.016063926,,,,,,,,
3/4/2011,18.3,1.333819242,133381.9242,332.04,1.234349442,123434.9442,43.44,0.913564669,274069.4006,30.87,1.153587444,576793.722,1107679.991,-0.006124393,122.87,0.028717348,,,,,,,,
3/7/2011,18.08,1.317784257,131778.4257,329.59,1.225241636,122524.1636,44,0.925341746,277602.5237,30.65,1.145366218,572683.1091,1104588.222,-0.002791211,125.9,0.02466021,,,,,,,,
3/8/2011,17.98,1.310495627,131049.5627,331.73,1.233197026,123319.7026,44.36,0.932912723,279873.817,31.05,1.160313901,580156.9507,1114400.033,0.008882777,125.93,0.000238284,,,,,,,,
3/9/2011,17.79,1.29664723,129664.723,330.21,1.227546468,122754.6468,44.93,0.944900105,283470.0315,31.26,1.168161435,584080.7175,1119970.119,0.004998282,121.69,-0.033669499,,,,,,,,
3/10/2011,17.24,1.256559767,125655.9767,324.91,1.207843866,120784.3866,44.93,0.944900105,283470.0315,31.1,1.162182362,581091.1809,1111001.576,-0.008007842,120.47,-0.010025475,,,,,,,,
3/11/2011,17.43,1.270408163,127040.8163,325.43,1.209776952,120977.6952,46.8,0.984227129,295268.1388,31.25,1.167787743,583893.8714,1127180.522,0.014562487,122.86,0.019838964,,,,,,,,
3/14/2011,17.29,1.260204082,126020.4082,327.79,1.218550186,121855.0186,46.95,0.987381703,296214.511,30.89,1.154334828,577167.4141,1121257.352,-0.005254855,121.37,-0.012127625,,,,,,,,
3/15/2011,17.09,1.245626822,124562.6822,326.2,1.212639405,121263.9405,49.96,1.050683491,315205.0473,30.05,1.122944694,561472.3468,1122504.017,0.001111846,119.11,-0.018620746,,,,,,,,
3/16/2011,16.89,1.231049563,123104.9563,319.24,1.186765799,118676.5799,48.84,1.027129338,308138.8013,29.75,1.111733931,555866.9656,1105787.303,-0.014892342,118.59,-0.004365712,,,,,,,,
3/17/2011,17.37,1.266034985,126603.4985,321.04,1.193457249,119345.7249,46.6,0.98002103,294006.3091,30.38,1.135276532,567638.2661,1107593.799,0.001633674,120.01,0.011974028,,,,,,,,
3/18/2011,17.24,1.256559767,125655.9767,316.9,1.178066914,117806.6914,45.25,0.951629863,285488.959,30.63,1.144618834,572309.417,1101261.044,-0.005717579,117.71,-0.01916507,,,,,,,,
3/21/2011,17.82,1.298833819,129883.3819,325.1,1.208550186,120855.0186,44.95,0.945320715,283596.2145,31.65,1.182735426,591367.713,1125702.328,0.022193906,120,0.019454592,,,,,,,,
3/22/2011,17.71,1.290816327,129081.6327,323.91,1.204126394,120412.6394,44.39,0.933543638,280063.0915,31.58,1.180119581,590059.7907,1119617.154,-0.005405669,117.98,-0.016833333,,,,,,,,
3/23/2011,17.6,1.282798834,128279.8834,320.93,1.193048327,119304.8327,44.39,0.933543638,280063.0915,31.6,1.180866966,590433.4828,1118081.29,-0.001371776,118.22,0.002034243,,,,,,,,
3/24/2011,17.71,1.290816327,129081.6327,330.5,1.228624535,122862.4535,43.57,0.916298633,274889.5899,31.32,1.170403587,585201.7937,1112035.47,-0.005407318,117.19,-0.00871257,,,,,,,,
3/25/2011,17.93,1.306851312,130685.1312,329.82,1.226096654,122609.6654,43.66,0.918191377,275457.4132,31.6,1.180866966,590433.4828,1119185.693,0.006429851,117.07,-0.001023978,,,,,,,,
3/28/2011,17.62,1.28425656,128425.656,330.38,1.228178439,122817.8439,44.78,0.941745531,282523.6593,31.44,1.174887892,587443.9462,1121211.105,0.00180972,113.28,-0.032373793,,,,,,,,
3/29/2011,17.56,1.279883382,127988.3382,335.29,1.246431227,124643.1227,44.87,0.943638275,283091.4826,31.24,1.167414051,583707.0254,1119429.969,-0.001588583,114.05,0.006797316,,,,,,,,
3/30/2011,17.87,1.302478134,130247.8134,338.21,1.257286245,125728.6245,44.32,0.932071504,279621.4511,31.54,1.178624813,589312.4066,1124910.296,0.004895641,112.02,-0.017799211,,,,,,,,
3/31/2011,17.97,1.309766764,130976.6764,333.46,1.239628253,123962.8253,42.99,0.904100946,271230.2839,31.99,1.195440957,597720.4783,1123890.264,-0.000906767,109.98,-0.018211034,,,,,,,,
4/1/2011,18.13,1.321428571,132142.8571,344.84,1.281933086,128193.3086,42.99,0.904100946,271230.2839,32.23,1.204409567,602204.7833,1133771.233,0.008791756,107.63,-0.021367521,,,,,,,,
4/4/2011,17.96,1.309037901,130903.7901,346.75,1.289033457,128903.3457,43.08,0.905993691,271798.1073,32.31,1.207399103,603699.5516,1135304.795,0.00135262,110.78,0.029266933,,,,,,,,
4/5/2011,17.91,1.305393586,130539.3586,351.74,1.307583643,130758.3643,42.1,0.885383807,265615.142,32.2,1.20328849,601644.2451,1128557.11,-0.005943501,113.62,0.025636396,,,,,,,,
4/6/2011,17.68,1.288629738,128862.9738,365.23,1.357732342,135773.2342,42,0.883280757,264984.2271,31.7,1.184603886,592301.9432,1121922.378,-0.005878951,112.73,-0.007833128,,,,,,,,
4/7/2011,17.91,1.305393586,130539.3586,372.08,1.383197026,138319.7026,42,0.883280757,264984.2271,31.43,1.1745142,587257.1001,1121100.388,-0.000732662,115.08,0.02084627,,,,,,,,
4/8/2011,17.69,1.289358601,128935.8601,367.67,1.366802974,136680.2974,41.82,0.879495268,263848.5804,31.31,1.170029895,585014.9477,1114479.686,-0.00590554,113.8,-0.011122697,,,,,,,,
4/11/2011,17.32,1.262390671,126239.0671,371.16,1.379776952,137977.6952,41.58,0.87444795,262334.3849,31.04,1.159940209,579970.1046,1106521.252,-0.007140941,111.16,-0.023198594,,,,,,,,
4/12/2011,16.93,1.233965015,123396.5015,366.39,1.36204461,136204.461,43.36,0.911882229,273564.6688,30.8,1.150971599,575485.7997,1108651.431,0.001925114,110.49,-0.006027348,,,,,,,,
4/13/2011,17.27,1.258746356,125874.6356,362.43,1.34732342,134732.342,43.25,0.909568875,272870.6625,30.82,1.151718984,575859.4918,1109337.132,0.0006185,114.18,0.033396687,,,,,,,,
4/14/2011,18.23,1.328717201,132871.7201,363.32,1.35063197,135063.197,43.25,0.909568875,272870.6625,30.83,1.152092676,576046.3378,1116851.917,0.006774122,117.65,0.030390611,,,,,,,,
4/15/2011,18.25,1.330174927,133017.4927,360.36,1.339628253,133962.8253,41.62,0.875289169,262586.7508,31.12,1.162929746,581464.8729,1111031.942,-0.005211054,117.79,0.00118997,,,,,,,,
4/18/2011,18.17,1.324344023,132434.4023,356.58,1.325576208,132557.6208,43,0.904311251,271293.3754,30.72,1.147982063,573991.0314,1110276.43,-0.000680009,118.97,0.010017828,,,,,,,,
4/19/2011,18.45,1.344752187,134475.2187,364.69,1.355724907,135572.4907,43,0.904311251,271293.3754,30.78,1.150224215,575112.1076,1116453.192,0.005563265,118.27,-0.005883836,,,,,,,,
4/20/2011,19.01,1.385568513,138556.8513,362.95,1.349256506,134925.6506,41.38,0.870241851,261072.5552,31.83,1.189461883,594730.9417,1129285.999,0.011494263,116.27,-0.016910459,,,,,,,,
4/21/2011,19.25,1.403061224,140306.1224,357.19,1.327843866,132784.3866,42.35,0.89064143,267192.429,31.99,1.195440957,597720.4783,1138003.416,0.007719406,114.68,-0.013675067,,,,,,,,
4/25/2011,19.13,1.394314869,139431.4869,352.04,1.308698885,130869.8885,40.63,0.85446898,256340.694,32.14,1.201046338,600523.1689,1127165.238,-0.009523854,113.64,-0.009068713,,,,,,,,
4/26/2011,19.22,1.400874636,140087.4636,352.82,1.311598513,131159.8513,41,0.862250263,258675.0789,32.76,1.224215247,612107.6233,1142030.017,0.013187755,112.91,-0.006423794,,,,,,,,
4/27/2011,19.29,1.405976676,140597.6676,355.49,1.321524164,132152.4164,41.01,0.862460568,258738.1703,33.07,1.235799701,617899.8505,1149388.105,0.00644299,115.94,0.026835533,,,,,,,,
4/28/2011,19.24,1.402332362,140233.2362,355.99,1.3233829,132338.29,41,0.862250263,258675.0789,33.31,1.244768311,622384.1555,1153630.76,0.00369123,117.16,0.010522684,,,,,,,,
4/29/2011,19.36,1.411078717,141107.8717,349.7,1.3,130000,40.44,0.850473186,255141.9558,33.71,1.259715994,629857.997,1156107.825,0.00214719,113.95,-0.027398429,,,,,,,,
5/2/2011,19.24,1.402332362,140233.2362,354.18,1.316654275,131665.4275,40.37,0.849001052,254700.3155,33.62,1.256352765,628176.3827,1154775.362,-0.001152542,114.79,0.007371654,,,,,,,,
5/3/2011,18.7,1.362973761,136297.3761,352.01,1.308587361,130858.7361,41.81,0.879284963,263785.489,33.51,1.252242152,626121.0762,1157062.677,0.001980745,117.8,0.026221796,,,,,,,,
5/4/2011,18.27,1.331632653,133163.2653,345.4,1.28401487,128401.487,43.3,0.9106204,273186.1199,32.51,1.214872945,607436.4723,1142187.345,-0.012856117,119.04,0.010526316,,,,,,,,
5/5/2011,18.47,1.346209913,134620.9913,346.94,1.289739777,128973.9777,47.79,1.005047319,301514.1956,32.55,1.216367713,608183.8565,1173293.021,0.027233428,118.52,-0.00436828,,,,,,,,
5/6/2011,18.48,1.346938776,134693.8776,348.38,1.295092937,129509.2937,48.02,1.009884332,302965.2997,33.49,1.251494768,625747.3842,1192915.855,0.016724581,118.2,-0.002699966,,,,,,,,
5/9/2011,18.63,1.35787172,135787.172,355.9,1.323048327,132304.8327,45.7,0.961093586,288328.0757,33.92,1.267563528,633781.7638,1190201.844,-0.002275107,114.9,-0.027918782,,,,,,,,
5/10/2011,19,1.38483965,138483.965,360.69,1.340855019,134085.5019,44.88,0.94384858,283154.5741,34.17,1.27690583,638452.9148,1194176.956,0.003339863,113.26,-0.014273281,,,,,,,,
5/11/2011,18.37,1.338921283,133892.1283,354.69,1.318550186,131855.0186,48.03,1.010094637,303028.3912,33.59,1.255231689,627615.8445,1196391.383,0.001854354,115.01,0.015451174,,,,,,,,
5/12/2011,18.22,1.327988338,132798.8338,361.04,1.342156134,134215.6134,47.6,1.001051525,300315.4574,33.47,1.250747384,625373.6921,1192703.597,-0.003082424,113.41,-0.013911834,,,,,,,,
5/13/2011,18.19,1.325801749,132580.1749,356,1.323420074,132342.0074,47.64,1.001892744,300567.8233,33.36,1.246636771,623318.3857,1188808.391,-0.003265862,109.8,-0.031831408,,,,,,,,
5/16/2011,18.41,1.341836735,134183.6735,349.12,1.297843866,129784.3866,48.1,1.011566772,303470.0315,33.31,1.244768311,622384.1555,1189822.247,0.000852834,109.71,-0.000819672,,,,,,,,
5/17/2011,18.51,1.349125364,134912.5364,349.92,1.300817844,130081.7844,47.75,1.004206099,301261.8297,33.3,1.244394619,622197.3094,1188453.46,-0.001150413,111.53,0.01658919,,,,,,,,
5/18/2011,18.93,1.379737609,137973.7609,352.78,1.311449814,131144.9814,46.02,0.967823344,290347.0032,34.04,1.272047833,636023.9163,1195489.662,0.005920469,116.56,0.045099973,,,,,,,,
5/19/2011,19.06,1.389212828,138921.2828,352.85,1.311710037,131171.0037,46.85,0.985278654,295583.5962,34.05,1.272421525,636210.7623,1201886.645,0.005350931,116.48,-0.000686342,,,,,,,,
5/20/2011,19.35,1.410349854,141034.9854,348.26,1.29464684,129464.684,45.95,0.966351209,289905.3628,34.01,1.270926756,635463.3782,1195868.41,-0.005007323,117.48,0.008585165,,,,,,,,
5/23/2011,18.95,1.381195335,138119.5335,343.13,1.275576208,127557.6208,47.04,0.989274448,296782.3344,33.72,1.260089686,630044.843,1192504.332,-0.002813084,115.05,-0.020684372,,,,,,,,
5/24/2011,20.18,1.470845481,147084.5481,341.84,1.270780669,127078.0669,46.14,0.970347003,291104.1009,33.64,1.257100149,628550.0747,1193816.791,0.00110059,114.28,-0.006692742,,,,,,,,
