ROST,ROST cumu_ret,ROST investment,OKE,OKE cumu_ret,OKE investment,BIIB,BIIB cumu_ret,BIIB investment,GLD,GLD cumu_ret,GLD investment,Fund Invest,Fund cumu_ret,Fund daily_ret
31.359999999999999,1.0,300000.0,26.760000000000002,1.0,300000.0,67.200000000000003,1.0,200000.0,138.0,1.0,200000.0,1000000.0,1.0,0.0
30.539999999999999,0.97385204081632648,292155.61224489793,26.370000000000001,0.98542600896860988,295627.80269058299,66.400000000000006,0.98809523809523814,197619.04761904763,134.75,0.97644927536231885,195289.85507246378,980692.31762699236,0.98069231762699238,-0.019307682373007617
30.760000000000002,0.98086734693877553,294260.20408163266,26.260000000000002,0.98131539611360241,294394.6188340807,66.680000000000007,0.99226190476190479,198452.38095238095,134.37,0.97369565217391307,194739.13043478262,981846.33430287696,0.98184633430287693,0.0011767367350006275
31.309999999999999,0.99840561224489799,299521.68367346941,26.41,0.98692077727952165,296076.23318385647,67.260000000000005,1.0008928571428573,200178.57142857145,133.83000000000001,0.96978260869565225,193956.52173913046,989733.01002502779,0.98973301002502778,0.0080324949501904275
31.399999999999999,1.0012755102040816,300382.6530612245,26.469999999999999,0.98916292974588926,296748.87892376678,67.379999999999995,1.0026785714285713,200535.71428571426,133.58000000000001,0.96797101449275369,193594.20289855075,991261.44916925626,0.99126144916925629,0.0015442943993448921
31.550000000000001,1.0060586734693877,301817.60204081633,26.350000000000001,0.98467862481315394,295403.58744394616,66.900000000000006,0.9955357142857143,199107.14285714287,134.12,0.97188405797101451,194376.81159420291,990705.14393610845,0.99070514393610842,-0.00056120938992842984
31.66,1.0095663265306123,302869.89795918367,26.809999999999999,1.0018684603886396,300560.53811659187,68.299999999999997,1.0163690476190474,203273.8095238095,134.91,0.9776086956521739,195521.73913043478,1002225.9847300199,1.0022259847300199,0.011628930024667916
31.460000000000001,1.003188775510204,300956.63265306118,27.210000000000001,1.0168161434977578,305044.84304932738,67.400000000000006,1.0029761904761905,200595.23809523811,135.46000000000001,0.98159420289855082,196318.84057971017,1002915.5543773368,1.0029155543773367,0.00068803808504580566
31.32,0.99872448979591844,299617.3469387755,27.359999999999999,1.022421524663677,306726.45739910309,67.519999999999996,1.0047619047619047,200952.38095238095,134.05000000000001,0.97137681159420297,194275.36231884061,1001571.5476091002,1.0015715476091003,-0.0013400996348800209
31.350000000000001,0.99968112244897966,299904.3367346939,27.390000000000001,1.0235426008968609,307062.78026905825,66.569999999999993,0.99062499999999987,198124.99999999997,132.69,0.96152173913043482,192304.34782608697,997396.46482983907,0.99739646482983901,-0.0041685317331824345
31.309999999999999,0.99840561224489799,299521.68367346941,27.420000000000002,1.0246636771300448,307399.10313901346,67.010000000000005,0.99717261904761911,199434.52380952382,133.43000000000001,0.96688405797101451,193376.81159420291,999732.12221620965,0.99973212221620966,0.0023417542258574731
31.780000000000001,1.0133928571428572,304017.85714285716,27.289999999999999,1.0198056801195814,305941.7040358744,66.239999999999995,0.98571428571428554,197142.8571428571,133.72,0.96898550724637678,193797.10144927536,1000899.5197708642,1.0008995197708641,0.0011677103583174198
31.940000000000001,1.0184948979591837,305548.46938775509,27.609999999999999,1.0317638266068758,309529.14798206277,68.780000000000001,1.0235119047619048,204702.38095238095,131.19999999999999,0.95072463768115933,190144.92753623187,1009924.9258584307,1.0099249258584306,0.0090172948525668595
31.870000000000001,1.0162627551020409,304878.82653061225,27.739999999999998,1.0366218236173392,310986.54708520178,66.769999999999996,0.99360119047619033,198720.23809523808,131.03,0.94949275362318841,189898.55072463769,1004484.1624356897,1.0044841624356897,-0.0053872949200816089
32.170000000000002,1.0258290816326532,307748.72448979598,27.969999999999999,1.0452167414050821,313565.02242152463,67.140000000000001,0.99910714285714286,199821.42857142858,130.36000000000001,0.94463768115942037,188927.53623188406,1010062.7117146333,1.0100627117146332,0.0055536458289362489
32.43,1.0341198979591837,310235.96938775509,27.75,1.0369955156950672,311098.65470852016,66.840000000000003,0.99464285714285716,198928.57142857142,130.09999999999999,0.94275362318840572,188550.72463768115,1008813.9201625279,1.0088139201625279,-0.0012363505133116126
32.659999999999997,1.041454081632653,312436.22448979592,28.039999999999999,1.0478325859491777,314349.77578475332,67.5,1.0044642857142856,200892.85714285713,131.16,0.95043478260869563,190086.95652173914,1017765.8139391452,1.0177658139391452,0.0088736818532153539
32.890000000000001,1.0487882653061225,314636.47959183675,28.260000000000002,1.0560538116591929,316816.14349775785,67.090000000000003,0.9983630952380953,199672.61904761905,127.93000000000001,0.92702898550724644,185405.79710144928,1016531.0392386628,1.0165310392386628,-0.0012132208446885562
32.140000000000001,1.024872448979592,307461.73469387757,28.100000000000001,1.0500747384155455,315022.42152466369,65.079999999999998,0.96845238095238084,193690.47619047615,130.28,0.94405797101449274,188811.59420289856,1004986.2266119161,1.0049862266119161,-0.011357068482033994
32.009999999999998,1.0207270408163265,306218.11224489793,28.170000000000002,1.0526905829596414,315807.17488789238,65.469999999999999,0.97425595238095231,194851.19047619047,129.87,0.94108695652173913,188217.39130434784,1005093.8689133286,1.0050938689133286,0.00010710823547843695
32.210000000000001,1.0271045918367347,308131.37755102041,28.329999999999998,1.0586696562032885,317600.89686098654,65.489999999999995,0.97455357142857135,194910.71428571426,130.80000000000001,0.94782608695652182,189565.21739130435,1010208.2060890256,1.0102082060890256,0.0050884174442595853
31.84,1.0153061224489797,304591.8367346939,28.149999999999999,1.0519431988041852,315582.95964125555,66.150000000000006,0.984375,196875.0,130.44999999999999,0.94528985507246366,189057.97101449274,1006107.7673904422,1.0061077673904422,-0.0040590035537901858
