date,open,high,low,close,volume,adj_close
2011-12-30,155.90000000000001,155.90000000000001,155.90000000000001,155.90000000000001,500,155.90000000000001
2011-12-29,153.0,153.0,151.74000000000001,151.74000000000001,300,151.74000000000001
2011-12-28,157.78,157.78,153.66999999999999,153.66999999999999,600,153.66999999999999
2011-12-27,159.81,159.81,159.81,159.81,0,159.81
2011-12-23,159.81,159.81,159.81,159.81,0,159.81
2011-12-22,159.81,159.81,159.81,159.81,0,159.81
2011-12-21,159.41,159.81,159.41,159.81,1400,159.81
2011-12-20,157.77000000000001,157.77000000000001,157.77000000000001,157.77000000000001,0,157.77000000000001
2011-12-19,157.77000000000001,157.77000000000001,157.77000000000001,157.77000000000001,0,157.77000000000001
2011-12-16,157.77000000000001,157.77000000000001,157.77000000000001,157.77000000000001,200,157.77000000000001
2011-12-15,157.74000000000001,157.74000000000001,155.09999999999999,155.09999999999999,7000,155.09999999999999
2011-12-14,156.99000000000001,158.25,155.5,155.5,7700,155.5
2011-12-13,163.86000000000001,163.86000000000001,161.24000000000001,161.80000000000001,800,161.80000000000001
2011-12-12,164.84,164.84,164.84,164.84,400,164.84
2011-12-09,169.75999999999999,169.75999999999999,169.75999999999999,169.75999999999999,100,169.75999999999999
2011-12-08,169.00999999999999,169.00999999999999,169.00999999999999,169.00999999999999,0,169.00999999999999
2011-12-07,169.00999999999999,169.00999999999999,169.00999999999999,169.00999999999999,0,169.00999999999999
2011-12-06,170.34999999999999,170.34999999999999,169.00999999999999,169.00999999999999,1600,169.00999999999999
2011-12-05,172.28999999999999,172.41,171.27000000000001,171.27000000000001,1400,171.27000000000001
2011-12-02,173.78,174.63,171.83000000000001,171.83000000000001,2000,171.83000000000001
2011-12-01,173.0,173.0,173.0,173.0,200,173.0
2011-11-30,169.78,169.78,169.78,169.78,0,169.78
2011-11-29,169.78,169.78,169.78,169.78,200,169.78
2011-11-28,169.81,170.91,169.81,170.47,800,170.47
2011-11-25,167.63999999999999,168.02000000000001,167.63999999999999,167.71000000000001,7400,167.71000000000001
2011-11-23,167.52000000000001,167.94,167.52000000000001,167.94,1600,167.94
2011-11-22,169.38999999999999,169.75999999999999,167.97,167.97,2000,167.97
2011-11-21,169.56,169.56,166.37,166.37,2400,166.37
2011-11-18,171.34,171.34,171.34,171.34,400,171.34
2011-11-17,171.25999999999999,171.40000000000001,169.91999999999999,171.09999999999999,2900,171.09999999999999
2011-11-16,174.66,175.25999999999999,174.66,174.97999999999999,300,174.97999999999999
2011-11-15,177.69999999999999,177.69999999999999,177.41999999999999,177.41999999999999,1200,177.41999999999999
2011-11-14,177.53999999999999,177.53999999999999,177.38,177.38,200,177.38
2011-11-11,174.86000000000001,177.25,174.86000000000001,177.25,600,177.25
2011-11-10,174.06999999999999,174.06999999999999,173.96000000000001,173.96000000000001,600,173.96000000000001
2011-11-09,178.91,178.91,178.91,178.91,0,178.91
2011-11-08,179.16999999999999,179.47,178.55000000000001,178.91,2000,178.91
2011-11-07,178.13,178.13,177.19999999999999,177.38999999999999,800,177.38999999999999
2011-11-04,173.59,173.84,173.59,173.84,400,173.84
2011-11-03,172.99000000000001,172.99000000000001,172.99000000000001,172.99000000000001,0,172.99000000000001
2011-11-02,172.52000000000001,173.44999999999999,170.68000000000001,172.99000000000001,900,172.99000000000001
2011-11-01,167.30000000000001,170.30000000000001,167.30000000000001,169.81999999999999,1300,169.81999999999999
2011-10-31,171.15000000000001,171.72,170.72999999999999,170.72999999999999,900,170.72999999999999
2011-10-28,174.90000000000001,174.90000000000001,172.53,173.66999999999999,700,173.66999999999999
2011-10-27,170.84,173.0,170.84,172.88999999999999,1100,172.88999999999999
2011-10-26,173.19999999999999,173.19999999999999,170.87,170.97,2100,170.97
2011-10-25,166.0,170.15000000000001,166.0,170.15000000000001,1600,170.15000000000001
2011-10-24,163.12,163.12,163.12,163.12,0,163.12
2011-10-21,163.12,163.12,163.12,163.12,100,163.12
2011-10-20,159.97,159.97,159.97,159.97,100,159.97
2011-10-19,164.18000000000001,164.18000000000001,163.88,163.88,300,163.88
2011-10-18,163.66,164.56999999999999,162.66,164.56999999999999,1900,164.56999999999999
2011-10-17,167.31,167.31,167.31,167.31,0,167.31
2011-10-14,167.31,167.31,167.31,167.31,200,167.31
2011-10-13,167.56999999999999,167.56999999999999,167.56999999999999,167.56999999999999,0,167.56999999999999
2011-10-12,167.56999999999999,167.56999999999999,167.56999999999999,167.56999999999999,200,167.56999999999999
2011-10-11,165.21000000000001,166.16999999999999,165.16999999999999,165.16999999999999,600,165.16999999999999
2011-10-10,165.55000000000001,166.68000000000001,165.55000000000001,166.68000000000001,2100,166.68000000000001
2011-10-07,165.22,165.22,163.34999999999999,163.34999999999999,2700,163.34999999999999
2011-10-06,163.91999999999999,164.62,163.91999999999999,164.62,5700,164.62
2011-10-05,160.97,163.49000000000001,160.97,163.47999999999999,900,163.47999999999999
2011-10-04,164.99000000000001,164.99000000000001,159.78,159.83000000000001,4000,159.83000000000001
2011-10-03,165.66,165.66,164.19999999999999,164.47999999999999,1600,164.47999999999999
2011-09-30,161.22999999999999,162.06,160.52000000000001,161.66999999999999,6200,161.66999999999999
2011-09-29,160.47999999999999,160.68000000000001,160.47999999999999,160.68000000000001,600,160.68000000000001
2011-09-28,165.12,165.12,160.19999999999999,160.53,4100,160.53
2011-09-27,165.99000000000001,165.99000000000001,164.27000000000001,164.27000000000001,1300,164.27000000000001
2011-09-26,160.41999999999999,162.44999999999999,158.97999999999999,161.93000000000001,16100,161.93000000000001
2011-09-23,170.0,170.0,161.68000000000001,165.0,3600,165.0
