Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,50.20,50.37,49.57,49.64,1763600,48.74
2011-12-29,49.74,50.85,49.72,50.54,1278400,49.62
2011-12-28,50.03,50.19,49.30,49.47,1195900,48.57
2011-12-27,50.33,50.78,50.03,50.03,1425000,49.12
2011-12-23,50.38,50.61,49.89,50.61,1131200,49.69
2011-12-22,49.47,50.40,49.19,50.05,2299200,49.14
2011-12-21,48.99,49.52,48.63,49.39,3903600,48.49
2011-12-20,47.25,49.06,47.16,49.00,3132700,48.11
2011-12-19,46.74,47.20,46.19,46.38,3029000,45.54
2011-12-16,46.15,46.69,45.68,46.55,6187400,45.70
2011-12-15,45.68,45.91,45.08,45.17,2799800,44.35
2011-12-14,44.68,45.40,44.36,44.95,2832100,44.13
2011-12-13,45.91,46.46,44.54,45.07,2860700,44.25
2011-12-12,46.34,46.34,45.17,45.67,2440500,44.84
2011-12-09,46.00,47.33,45.88,47.10,2704900,46.24
2011-12-08,47.68,47.70,45.43,45.58,2684000,44.75
2011-12-07,46.69,48.41,46.30,48.21,2105100,47.33
2011-12-06,46.89,47.36,46.42,46.94,1574900,46.09
2011-12-05,46.97,47.44,46.49,46.97,1607400,46.11
2011-12-02,45.96,47.33,45.84,45.98,1555600,45.14
2011-12-01,45.57,45.82,44.97,45.48,1205000,44.65
2011-11-30,44.34,45.98,44.27,45.91,3035200,45.07
2011-11-29,43.13,43.32,42.55,42.88,2185100,42.10
2011-11-28,44.77,44.77,42.49,43.03,2491200,42.25
2011-11-25,41.15,42.12,41.10,41.51,770900,40.75
2011-11-23,42.15,42.31,41.29,41.31,2038800,40.56
2011-11-22,42.92,43.31,42.26,42.73,2100700,41.95
2011-11-21,44.06,44.17,42.59,43.08,1962600,42.30
2011-11-18,44.55,44.74,43.93,44.21,1766900,43.41
2011-11-17,45.22,45.26,43.90,44.17,3038300,43.37
2011-11-16,46.28,46.55,45.29,45.35,2707000,44.52
2011-11-15,46.33,47.35,46.00,46.88,2234300,46.03
2011-11-14,46.76,47.00,46.08,46.78,2166000,45.93
2011-11-11,46.46,47.32,46.43,47.22,1933800,46.36
2011-11-10,46.33,46.58,45.17,45.60,2512100,44.77
2011-11-09,46.71,46.87,45.24,45.35,3138800,44.52
2011-11-08,47.44,48.62,47.35,48.36,3831500,47.48
2011-11-07,46.08,46.97,45.54,46.93,2021300,46.08
2011-11-04,46.05,46.47,44.90,46.26,2146500,45.42
2011-11-03,45.71,47.26,44.63,46.82,2898700,45.97
2011-11-02,45.09,45.50,44.14,45.16,2622000,44.34
2011-11-01,45.20,45.49,43.84,44.09,3450300,43.06
2011-10-31,47.25,47.65,46.66,46.68,3063900,45.59
2011-10-28,48.29,49.03,47.70,48.74,3464400,47.60
2011-10-27,49.00,49.91,47.51,48.53,6176900,47.40
2011-10-26,42.95,43.21,41.20,42.86,4087100,41.86
2011-10-25,44.09,44.09,41.90,42.05,3460500,41.07
2011-10-24,43.74,45.06,43.59,44.70,2674600,43.66
2011-10-21,42.24,43.47,42.10,43.46,3207600,42.45
2011-10-20,40.77,41.86,40.40,41.70,2784900,40.73
2011-10-19,42.50,42.92,40.70,40.90,3109200,39.95
2011-10-18,41.07,43.07,40.67,42.69,2464300,41.69
2011-10-17,42.52,42.77,40.79,40.93,2257400,39.98
2011-10-14,43.39,43.58,42.07,42.88,1817600,41.88
2011-10-13,42.36,42.57,40.51,41.56,2424800,40.59
2011-10-12,41.83,43.68,41.77,42.92,2767900,41.92
2011-10-11,40.72,41.72,40.28,41.44,1910600,40.47
2011-10-10,40.05,41.09,39.93,41.08,1786700,40.12
2011-10-07,41.01,41.26,39.04,39.06,2419800,38.15
2011-10-06,38.83,40.78,37.85,40.71,3039500,39.76
2011-10-05,38.28,39.34,37.76,39.05,3110800,38.14
2011-10-04,36.59,38.40,36.00,38.18,5000000,37.29
2011-10-03,38.95,39.25,37.32,37.34,4678000,36.47
2011-09-30,40.21,40.47,39.36,39.36,2695100,38.44
2011-09-29,41.18,42.00,39.89,41.11,3575400,40.15
2011-09-28,41.60,42.00,39.92,39.99,4175100,39.06
2011-09-27,42.10,42.68,40.98,41.34,3015000,40.38
2011-09-26,40.23,41.15,39.06,41.10,2235600,40.14
2011-09-23,39.52,40.41,39.37,39.77,2404000,38.84
2011-09-22,40.22,40.63,38.97,39.84,5639500,38.91
2011-09-21,43.52,43.94,41.65,41.67,2601300,40.70
2011-09-20,44.00,44.74,43.51,43.53,2561500,42.51
2011-09-19,43.90,44.23,42.80,43.80,2716000,42.78
2011-09-16,45.21,45.49,43.92,45.07,3236500,44.02
2011-09-15,44.63,45.08,43.86,44.97,2451600,43.92
2011-09-14,43.78,44.57,42.51,43.80,2548400,42.78
2011-09-13,42.17,43.11,41.60,42.92,3100200,41.92
2011-09-12,40.93,42.07,40.34,42.02,2802200,41.04
2011-09-09,42.24,42.68,41.21,41.73,2304300,40.76
2011-09-08,43.16,43.84,42.68,42.87,1869200,41.87
2011-09-07,42.43,44.05,42.28,43.84,2380100,42.82
2011-09-06,40.72,41.84,40.44,41.47,2496700,40.50
2011-09-02,42.70,43.21,42.36,42.37,2538600,41.38
2011-09-01,45.67,45.80,43.91,43.97,2692700,42.94
2011-08-31,45.44,46.25,45.12,45.70,2921600,44.63
2011-08-30,45.21,45.66,44.43,44.96,2524000,43.91
2011-08-29,44.33,45.60,44.14,45.54,2531200,44.48
2011-08-26,41.62,43.85,40.99,43.45,3216400,42.44
2011-08-25,43.75,44.45,41.69,42.19,2839300,41.21
2011-08-24,42.41,43.66,41.82,43.16,3837700,42.15
2011-08-23,39.77,42.61,39.16,42.52,4923900,41.53
2011-08-22,40.10,40.39,39.33,39.58,4017100,38.66
2011-08-19,39.91,41.78,38.93,39.04,5856500,38.13
2011-08-18,42.37,42.42,40.63,40.97,4833700,40.01
2011-08-17,45.32,45.51,43.64,44.06,3962200,43.03
2011-08-16,44.51,45.42,44.32,45.12,4306300,44.07
2011-08-15,44.62,45.58,44.52,45.30,3650800,44.24
2011-08-12,44.90,45.78,43.96,44.21,5022500,43.18
2011-08-11,41.24,44.98,40.31,44.25,5447400,43.22
2011-08-10,43.52,43.53,41.12,41.19,5663900,40.23
2011-08-09,42.12,44.61,40.10,44.53,7836900,43.49
2011-08-08,45.70,46.58,41.34,41.34,7289600,40.38
2011-08-05,48.57,48.88,46.17,47.18,5150100,46.08
2011-08-04,49.69,50.13,47.79,47.92,4976400,46.80
2011-08-03,50.90,51.33,50.19,50.58,4364400,49.40
2011-08-02,52.25,52.97,51.01,51.01,3668800,49.60
2011-08-01,54.93,55.08,52.15,52.69,3387300,51.23
